"iid","time","origin","airline","aircraft","flightPhase","impact","cond","aid"
205771,"3/4/2000","South Dakota","MESABA AIRLINES","SAAB-340","inflight","0","2","22"
202226,"3/6/2000","New Jersey","CONTINENTAL AIRLINES","MD-82","landing","0","1","23"
204404,"3/6/2000","Colorado","EXECUTIVE JET AVIATION","HAWKER 800","inflight","0","1","24"
202138,"3/6/2000","Minnesota","AMERICAN AIRLINES","FOKKER F28 MK 1000","inflight","0","1","25"
201983,"3/7/2000","Minnesota","NORTHWEST AIRLINES","B-757-200","inflight","0","3","26"
200247,"3/11/2000","Colorado","BUSINESS","HAWKER 800","inflight","0","1","27"
201387,"3/13/2000","New York","CONTINENTAL AIRLINES","EMB-135","inflight","0","1","28"
200542,"3/13/2000","Alabama","ABX AIR","DC-9-40","inflight","0","1","29"
202076,"3/14/2000","Georgia","AIRTRAN AIRWAYS","DC-9-30","inflight","0","1","9"
204836,"3/15/2000","New York","DELTA AIR LINES","B-727-200","inflight","1","1","1"
203390,"3/15/2000","N/A","HAWAIIAN AIR","DC-10-30","landing","1","2","30"
203936,"3/18/2000","Florida","AMERICAN EAGLE AIRLINES","SAAB-340","takeoff","0","2","31"
203938,"3/22/2000","South Carolina","US AIRWAYS*","B-737","landing","1","2","32"
200130,"3/23/2000","Minnesota","NORTHWEST AIRLINES","DC-9-10","inflight","1","3","26"
201705,"3/23/2000","Louisiana","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","33"
201770,"3/25/2000","Ohio","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","inflight","0","1","34"
201506,"4/1/2000","DC","US AIRWAYS*","B-737-300","inflight","0","1","8"
201524,"4/2/2000","California","NORTHWEST AIRLINES","B-747-1/200","takeoff","0","1","35"
207027,"4/4/2000","Wisconsin","MESABA AIRLINES","SAAB-340","inflight","0","2","36"
4064,"4/6/2000","Louisiana","MILITARY","B-52H","inflight","0","1","37"
202816,"4/8/2000","Michigan","US AIRWAYS*","DC-9","inflight","1","2","38"
200828,"4/9/2000","South Carolina","AIRTRAN AIRWAYS","DC-9","inflight","0","1","32"
203262,"4/12/2000","California","UNITED AIRLINES","B-737-500","inflight","0","2","35"
200681,"4/13/2000","Ohio","COMAIR AIRLINES","CL-RJ100/200","landing","1","2","39"
202210,"4/16/2000","California","ALOHA AIRLINES","B-737-700","landing","0","2","40"
202062,"4/21/2000","Alabama","DELTA AIR LINES","B-757-200","inflight","0","1","29"
200155,"4/25/2000","Massachusetts","BUSINESS","C-560","takeoff","0","2","41"
202836,"4/26/2000","Alaska","ATLAS AIR","B-747-400","inflight","1","1","42"
204057,"4/28/2000","North Carolina","US AIRWAYS*","FOKKER F100","inflight","0","3","43"
201230,"4/29/2000","Alaska","DELTA AIR LINES","B-757-200","inflight","0","3","42"
205954,"4/30/2000","Kentucky","COMAIR AIRLINES","CL-RJ100/200","inflight","0","1","44"
201585,"5/3/2000","Illinois","PRIVATELY OWNED","BE-58  BARON","inflight","0","1","45"
201990,"5/3/2000","Indiana","US AIRWAYS*","DC-9-30","landing","0","1","46"
202887,"5/4/2000","California","UNITED AIRLINES","B-737-500","landing","0","2","35"
200068,"5/9/2000","Kentucky","UPS AIRLINES","B-767-300","inflight","0","3","47"
209758,"5/10/2000","Oregon","FEDEX EXPRESS","DC-10","landing","0","3","48"
200785,"5/13/2000","New York","AMERICAN AIRLINES","FOKKER F100","inflight","0","2","49"
201283,"5/15/2000","California","AMERICAN EAGLE AIRLINES","SAAB-340","takeoff","1","2","50"
7379,"5/18/2000","Louisiana","MILITARY","B-52H","inflight","0","1","37"
200893,"5/19/2000","Ohio","BUSINESS","PA-31 NAVAJO","landing","0","3","51"
203391,"5/23/2000","Pennsylvania","AMERICAN AIRLINES","FOKKER F100","inflight","0","3","52"
207700,"5/28/2000","California","UNITED AIRLINES","B-737-300","inflight","0","2","40"
201771,"5/29/2000","Michigan","CHAUTAUQUA AIRLINES","SAAB-340","takeoff","0","2","53"
203389,"5/29/2000","N/A","DELTA AIR LINES","B-727","inflight","0","1","54"
203333,"5/30/2000","New Hampshire","PRIVATELY OWNED","C-172","inflight","1","2","55"
202886,"6/1/2000","Georgia","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","takeoff","0","3","56"
201053,"6/3/2000","Pennsylvania","AMERICA WEST AIRLINES","A-320","inflight","0","1","52"
203804,"6/6/2000","DC","ATLANTIC COAST AIRLINES","BA-31 JETSTR","inflight","0","1","8"
202701,"6/6/2000","Ohio","BUSINESS","LEARJET-35","landing","0","2","51"
202151,"6/7/2000","Hawaii","HAWAIIAN AIR","DC-9-50","landing","0","2","57"
205305,"6/8/2000","Florida","DELTA AIR LINES","MD-88","inflight","0","2","58"
203483,"6/9/2000","Texas","SOUTHWEST AIRLINES","B-737","landing","0","3","59"
204287,"6/11/2000","Massachusetts","US AIRWAYS*","B-737-300","inflight","1","3","60"
200031,"6/12/2000","Colorado","GREAT LAKES AIRLINES","BE-1900","inflight","0","1","61"
201214,"6/14/2000","Georgia","DELTA AIR LINES","B-757-200","takeoff","0","1","56"
201505,"6/15/2000","Michigan","COMAIR AIRLINES","CL-RJ100/200","inflight","0","2","62"
204115,"6/16/2000","Virginia","UNKNOWN","IAI-1124","takeoff","0","2","5"
202139,"6/20/2000","Michigan","NORTHWEST AIRLINES","DC-9-40","landing","0","3","63"
203968,"6/21/2000","Indiana","AMERICA WEST AIRLINES","B-757-200","landing","0","2","46"
202994,"6/25/2000","Arkansas","BUSINESS","C-172","inflight","0","1","64"
202602,"6/25/2000","Kentucky","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900","landing","0","2","44"
201414,"6/26/2000","Nevada","ATA AIRLINES","B-727","inflight","0","3","65"
203143,"6/27/2000","Georgia","BUSINESS","BA-31 JETSTR","landing","1","2","9"
203243,"6/28/2000","Mississippi","BUSINESS","LEARJET-31","inflight","1","1","66"
204609,"6/29/2000","Illinois","AIR WISCONSIN AIRLINES","CL-RJ100/200","takeoff","0","1","12"
201335,"6/30/2000","Florida","CAPE AIR","C-402","takeoff","0","2","21"
202613,"7/6/2000","Florida","UNKNOWN","SHORTS SC7","inflight","0","1","67"
200807,"7/7/2000","Pennsylvania","DELTA AIR LINES","MD-88","inflight","0","1","52"
202419,"7/7/2000","Maryland","UNITED AIRLINES","B-757-200","inflight","0","2","68"
200696,"7/10/2000","California","CONTINENTAL AIRLINES","B-737-800","inflight","0","1","35"
200108,"7/10/2000","DC","UNITED AIRLINES","A-319","landing","0","1","8"
203355,"7/10/2000","Massachusetts","BUSINESS","CITATION II","landing","0","2","69"
202117,"7/11/2000","Florida","ATLANTIC SOUTHEAST","ATR-72","landing","0","2","70"
202204,"7/12/2000","Alabama","SOUTHWEST AIRLINES","B-737-300","landing","0","2","29"
205917,"7/15/2000","Florida","ATLANTIC SOUTHEAST","ATR-72","landing","0","1","70"
204602,"7/16/2000","N/A","TRANSMERIDIAN AIRLINES","A-320","inflight","0","1","71"
205350,"7/17/2000","California","PRIVATELY OWNED","C-172","inflight","0","1","72"
203335,"7/18/2000","Oregon","UNITED AIRLINES","B-737-500","landing","0","3","48"
204308,"7/19/2000","New Jersey","BUSINESS","DA-20 FALCON","takeoff","0","2","73"
200758,"7/20/2000","Kentucky","US AIRWAYS*","B-737-200","inflight","0","1","47"
204677,"7/21/2000","Kentucky","US AIRWAYS*","B-737-200","landing","0","3","47"
205312,"7/21/2000","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","takeoff","0","2","2"
206984,"7/22/2000","Florida","ATLANTIC SOUTHEAST","ATR-72","takeoff","0","2","70"
203849,"7/22/2000","New Jersey","BUSINESS","BE-400 BJET","inflight","0","1","74"
203187,"7/23/2000","Kentucky","COMAIR AIRLINES","CL-RJ100/200","takeoff","0","1","44"
205741,"7/24/2000","Oregon","AMERIFLIGHT","C-402","inflight","0","1","48"
203630,"7/28/2000","Florida","PINNACLE","SAAB-340","inflight","0","2","70"
203455,"7/28/2000","New Jersey","BUSINESS","DA-2000","takeoff","0","3","75"
202567,"7/28/2000","Maine","BUSINESS","HAWKER-SDLY HS125","inflight","0","2","76"
202382,"7/30/2000","Florida","BUSINESS","C-560","landing","0","2","70"
200793,"8/4/2000","New Jersey","AMERICAN AIRLINES","A-300","landing","0","1","23"
205461,"8/5/2000","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","landing","0","1","2"
203512,"8/6/2000","Kentucky","DELTA AIR LINES","B-767","inflight","0","3","44"
201322,"8/6/2000","Tennessee","UNITED AIRLINES","B-737-300","takeoff","1","2","77"
203160,"8/6/2000","New York","AMERICAN AIRLINES","A-319","takeoff","0","3","78"
201114,"8/6/2000","Maryland","US AIRWAYS*","B-737-300","landing","0","3","68"
202199,"8/8/2000","Florida","PINNACLE","SAAB-340","takeoff","1","1","70"
201407,"8/8/2000","Alabama","US AIRWAYS*","FOKKER F100","landing","0","1","29"
200672,"8/9/2000","Alabama","SOUTHWEST AIRLINES","B-737-300","inflight","0","2","29"
208831,"8/10/2000","Quebec","EXECUTIVE JET AVIATION","HAWKER 1000","landing","0","1","79"
201896,"8/10/2000","North Carolina","AMERICAN AIRLINES","B-727-200","takeoff","0","2","80"
204264,"8/12/2000","Illinois","BUSINESS","C-172","inflight","0","1","81"
204225,"8/12/2000","Illinois","PRIVATELY OWNED","PA-28","inflight","0","2","81"
202482,"8/13/2000","Texas","ATLANTIC SOUTHEAST","CL-RJ100/200","inflight","0","1","59"
202464,"8/14/2000","Virginia","BUSINESS","BE-23 SUNDOWNER","landing","0","1","82"
200732,"8/16/2000","Kentucky","US AIRWAYS*","B-737-300","landing","0","1","47"
208561,"","Louisiana","","BELL-206","unknown","0","1","83"
203380,"8/18/2000","Texas","SOUTHWEST AIRLINES","B-737-300","inflight","0","2","84"
200698,"8/19/2000","New Jersey","CONTINENTAL AIRLINES","B-737-500","inflight","0","2","23"
200664,"8/20/2000","New Jersey","AMERICAN AIRLINES","B-727-200","landing","0","2","23"
200794,"8/21/2000","Florida","BUSINESS","BE-400 BJET","inflight","0","2","70"
204415,"8/21/2000","Florida","BUSINESS","BE-1900","takeoff","0","2","85"
207534,"8/22/2000","Idaho","HORIZON AIR","DHC8 DASH 8","inflight","0","1","86"
201872,"8/23/2000","Michigan","NORTHWEST AIRLINES","A-319","inflight","0","2","63"
204521,"8/23/2000","Pennsylvania","EVERGREEN INTL AIRLINES","B-747-1/200","takeoff","1","3","52"
201139,"8/23/2000","Illinois","BUSINESS","BE-90  KING","takeoff","0","2","87"
200375,"8/23/2000","Illinois","MESABA AIRLINES","SAAB-340","takeoff","0","2","87"
205933,"8/24/2000","Indiana","BUSINESS","HAWKER 1000","inflight","0","1","88"
202578,"8/25/2000","Mississippi","SOUTHWEST AIRLINES","B-737-300","inflight","0","1","89"
203634,"8/25/2000","New Jersey","CONTINENTAL AIRLINES","MD-80","inflight","0","2","23"
201828,"8/27/2000","Texas","LEGEND AIRLINES","DC-9-30","takeoff","0","1","59"
200783,"8/28/2000","Georgia","COMAIR AIRLINES","CL-RJ100/200","landing","0","2","56"
202035,"8/30/2000","British Columbia","HORIZON AIR","DHC8 DASH 8","inflight","0","2","90"
200560,"8/30/2000","Pennsylvania","US AIRWAYS*","DC-9","landing","0","3","91"
204413,"9/3/2000","Utah","DELTA AIR LINES","B-727","inflight","0","1","92"
202289,"9/4/2000","Massachusetts","DELTA AIR LINES","B-767-200","inflight","0","1","60"
202074,"9/4/2000","New York","DELTA AIR LINES","B-727","landing","0","3","78"
202788,"9/4/2000","Illinois","AIR WISCONSIN AIRLINES","BA-146","takeoff","0","3","93"
206920,"9/4/2000","Ohio","NORTHWEST AIRLINES","DC-9","takeoff","0","2","94"
202461,"9/5/2000","New Jersey","BUSINESS","GULFAERO III","takeoff","0","2","75"
205207,"9/5/2000","Maryland","UNITED AIRLINES","A-320","inflight","0","1","68"
201570,"9/7/2000","Tennessee","CCAIR","BA-31 JETSTR","takeoff","0","3","19"
204351,"9/8/2000","Missouri","CONTINENTAL AIRLINES","B-737-300","inflight","0","2","16"
202351,"9/8/2000","Nebraska","FRONTIER AIRLINES","B-737-200","inflight","0","1","95"
204272,"9/9/2000","Alabama","BUSINESS","BE-300 KING","landing","0","2","29"
201340,"9/10/2000","Illinois","UNKNOWN","MU2","landing","0","2","93"
204571,"9/11/2000","California","UNITED AIRLINES","B-737-300","inflight","0","1","96"
208477,"9/12/2000","Wisconsin","SKYWAY AIRLINES","DORNIER","inflight","0","1","97"
200193,"9/13/2000","Massachusetts","BUSINESS","BE-200 KING","landing","0","1","69"
202764,"9/13/2000","New Hampshire","PAN AM","B-727-200","takeoff","0","2","55"
206860,"9/13/2000","Ohio","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","inflight","0","1","34"
200625,"9/15/2000","North Carolina","US AIRWAYS*","FOKKER F100","inflight","0","1","43"
200867,"9/16/2000","California","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","98"
203468,"9/20/2000","Pennsylvania","ATLANTIC COAST AIRLINES","BA-41 JETSTR","takeoff","0","2","99"
200147,"9/20/2000","Utah","DELTA AIR LINES","B-767-300","inflight","0","1","92"
202797,"9/20/2000","Colorado","UNITED AIRLINES","B-737-300","landing","0","2","100"
205344,"9/21/2000","Indiana","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900","inflight","1","1","101"
200688,"9/24/2000","Hawaii","HAWAIIAN AIR","DC-9-50","inflight","0","1","57"
204695,"9/26/2000","Florida","DELTA AIR LINES","B-737-200","takeoff","0","2","31"
205168,"9/28/2000","Rhode Island","AMERICAN EAGLE AIRLINES","SAAB-340","landing","0","2","15"
200931,"9/28/2000","Nebraska","GREAT LAKES AIRLINES","BE-1900","inflight","0","2","102"
213893,"9/28/2000","Michigan","FEDEX EXPRESS","A-310","takeoff","0","1","38"
206536,"9/29/2000","New Jersey","FEDEX EXPRESS","B-727","inflight","0","1","23"
200479,"10/1/2000","N/A","AMERICAN AIRLINES","B-727-200","inflight","0","2","103"
214147,"10/2/2000","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","2"
202348,"10/3/2000","DC","ATLANTIC COAST AIRLINES","CL-RJ100/200","inflight","0","1","8"
200048,"10/4/2000","Tennessee","BUSINESS","CITATION II","inflight","0","1","19"
200403,"10/5/2000","Massachusetts","UNITED AIRLINES","A-320","takeoff","0","3","60"
202758,"10/5/2000","Ohio","BUSINESS","C-560","landing","0","3","51"
204244,"10/6/2000","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","2","2"
201960,"10/9/2000","Michigan","COMAIR AIRLINES","CL-RJ100/200","inflight","0","1","38"
206581,"10/10/2000","Iowa","GREAT LAKES AIRLINES","EMB-110","takeoff","0","1","104"
205661,"10/13/2000","Missouri","VANGUARD AIRLINES","B-737","landing","0","2","16"
204994,"10/14/2000","N/A","AMERICAN AIRLINES","B-727","inflight","1","1","105"
208027,"10/15/2000","New York","SOUTHWEST AIRLINES","B-737-700","takeoff","1","1","106"
200477,"10/15/2000","Florida","DELTA AIR LINES","B-767-400","inflight","1","1","58"
205270,"10/16/2000","Kentucky","BUSINESS","DA-10 FALCON","inflight","0","3","47"
206599,"10/16/2000","Massachusetts","AMERICAN EAGLE AIRLINES","SAAB-340","takeoff","0","3","60"
204605,"10/19/2000","Florida","DELTA AIR LINES","B-757-200","inflight","0","1","85"
209019,"10/20/2000","Texas","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","inflight","0","3","59"
203507,"10/22/2000","North Carolina","CCAIR","DHC8 DASH 8","inflight","0","1","43"
206675,"10/24/2000","California","BUSINESS","C-208","inflight","0","1","107"
208274,"10/25/2000","New York","ASTAR AIR CARGO","A-300","takeoff","0","1","108"
205535,"10/30/2000","Tennessee","DELTA AIR LINES","B-727","inflight","0","3","77"
204007,"10/31/2000","New York","COMAIR AIRLINES","CL-RJ100/200","takeoff","0","1","109"
203497,"11/1/2000","New Hampshire","BUSINESS","BA-31 JETSTR","takeoff","0","2","55"
204236,"11/2/2000","Ohio","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","inflight","0","2","34"
205876,"11/5/2000","Alabama","BUSINESS","IAI-1124","takeoff","0","3","29"
204191,"11/5/2000","California","SKYWEST AIRLINES","EMB-120","inflight","1","1","107"
204441,"11/6/2000","Pennsylvania","US AIRWAYS*","A-319","inflight","0","1","52"
206406,"11/7/2000","Georgia","CONTINENTAL AIRLINES","B-737-300","inflight","0","3","9"
203254,"11/7/2000","Wisconsin","NORTHWEST AIRLINES","DC-9","takeoff","0","3","110"
206018,"11/8/2000","Iowa","GOVERNMENT","PA-31T CHEYENNE II","inflight","1","3","111"
208957,"11/8/2000","Illinois","BUSINESS","DA-50 FALCON","takeoff","0","1","112"
200641,"11/11/2000","Colorado","FRONTIER AIRLINES","B-737-200","inflight","0","3","61"
206414,"11/12/2000","Alabama","BUSINESS","RKWLTRBO 690","inflight","0","1","29"
205559,"11/12/2000","Massachusetts","US AIRWAYS*","B-737-400","landing","0","1","60"
208033,"11/13/2000","Minnesota","MESABA AIRLINES","SAAB-340","inflight","1","3","26"
5401,"11/13/2000","Louisiana","MILITARY","B-52H","inflight","0","1","37"
203050,"11/15/2000","Massachusetts","US AIRWAYS*","MD-80","inflight","0","1","60"
208821,"11/16/2000","New York","DELTA AIR LINES","B-727","inflight","0","1","1"
202477,"11/16/2000","Florida","DELTA AIR LINES","B-767-300","inflight","1","1","85"
206885,"11/19/2000","DC","US AIRWAYS*","A-319","inflight","0","3","113"
205078,"11/24/2000","California","UNITED AIRLINES","B-737-300","landing","0","3","35"
4978,"11/29/2000","South Carolina","MILITARY","C-17A","inflight","0","1","114"
208354,"12/1/2000","New York","NATIONAL AIRLINES","B-757-200","takeoff","0","1","108"
205670,"12/5/2000","Tennessee","BUSINESS","C-560","inflight","0","2","115"
200949,"12/9/2000","Ohio","AMERICAN AIRLINES","FOKKER F100","landing","0","1","116"
4964,"12/12/2000","Louisiana","MILITARY","B-52H","inflight","1","1","37"
205109,"12/13/2000","Kentucky","COMAIR AIRLINES","CL-RJ100/200","inflight","1","3","44"
205904,"12/14/2000","British Columbia","ALASKA AIRLINES","B-737-400","inflight","1","2","90"
209896,"12/24/2000","Pennsylvania","COMAIR AIRLINES","CL-RJ100/200","landing","0","2","91"
203784,"12/25/2000","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","landing","0","3","2"
209050,"12/26/2000","N/A","ALASKA AIRLINES","MD-82","inflight","0","1","117"
201316,"12/29/2000","New Mexico","SKYWEST AIRLINES","CL-RJ100/200","inflight","0","1","118"
204637,"1/2/2001","New Jersey","US AIRWAYS*","DC-9-30","takeoff","0","1","23"
207692,"1/5/2001","Florida","AVIANCA","B-757-200","inflight","1","2","119"
206418,"1/10/2001","DC","AMERICA WEST AIRLINES","A-320","inflight","0","1","113"
201929,"1/13/2001","Idaho","SKYWEST AIRLINES","EMB-120","landing","0","3","120"
207669,"1/14/2001","Pennsylvania","PSA AIRLINES","DORNIER 328","inflight","0","2","121"
209401,"1/14/2001","Alabama","BUSINESS","LEARJET-60","landing","1","1","122"
205491,"1/15/2001","Hawaii","HAWAIIAN AIR","DC-9-50","inflight","0","2","17"
203661,"1/15/2001","California","SOUTHWEST AIRLINES","B-737-700","landing","0","1","107"
207968,"1/16/2001","California","UPS AIRLINES","B-767","inflight","0","1","40"
207182,"1/16/2001","Hawaii","HAWAIIAN AIR","DC-9-50","takeoff","0","2","17"
5026,"1/16/2001","Texas","MILITARY","AT-38B","inflight","0","2","123"
210048,"1/17/2001","California","SOUTHWEST AIRLINES","B-737-300","inflight","0","1","107"
207068,"1/19/2001","DC","US AIRWAYS*","B-737-300","inflight","0","3","113"
200510,"1/23/2001","Mississippi","MESABA AIRLINES","BA-146","inflight","0","2","89"
212461,"1/24/2001","Pennsylvania","US AIRWAYS*","B-737-300","inflight","0","1","52"
4469,"1/28/2001","South Carolina","MILITARY","C-17A","inflight","0","1","114"
212906,"1/29/2001","Utah","SKYWEST AIRLINES","CL-RJ100/200","landing","0","2","92"
207835,"2/2/2001","Louisiana","AMERICAN AIRLINES","MD-82","inflight","0","3","124"
203883,"2/2/2001","Missouri","TRANS WORLD AIRLINES","DC-9-30","inflight","1","1","125"
200567,"2/6/2001","N/A","AMERICAN AIRLINES","B-777-200","inflight","0","1","126"
5245,"2/7/2001","South Carolina","MILITARY","C-17A","takeoff","0","1","114"
203066,"2/8/2001","California","ALASKA AIRLINES","B-737","inflight","0","1","40"
207360,"2/9/2001","California","BUSINESS","PA-28","inflight","1","2","127"
206621,"2/10/2001","Hawaii","HAWAIIAN AIR","DC-9-50","takeoff","0","3","17"
204178,"2/12/2001","Utah","BUSINESS","RKWL SABRLNR","landing","0","3","92"
209773,"2/14/2001","New Hampshire","BUSINESS","CL-601/604","landing","0","2","55"
202780,"2/20/2001","Texas","AMERICAN AIRLINES","MD-82","inflight","0","2","128"
206163,"2/27/2001","Hawaii","HAWAIIAN AIR","DC-9-50","landing","0","2","17"
206943,"2/27/2001","Colorado","FRONTIER AIRLINES","B-737-300","inflight","1","2","61"
210557,"3/3/2001","Texas","CONTINENTAL AIRLINES","B-737-800","landing","0","3","129"
6955,"3/5/2001","Texas","MILITARY","T-38A","inflight","0","1","123"
210390,"3/6/2001","Florida","DELTA AIR LINES","B-767-400","inflight","0","1","31"
209544,"3/6/2001","California","ALASKA AIRLINES","B-737-400","inflight","1","2","40"
209264,"3/7/2001","Tennessee","MESABA AIRLINES","AVRO RJ 85","inflight","1","1","77"
205481,"3/9/2001","North Carolina","US AIRWAYS*","A-319","takeoff","1","2","43"
201737,"3/10/2001","New York","SOUTHWEST AIRLINES","B-737-700","takeoff","0","1","106"
208492,"3/11/2001","New York","US AIRWAYS*","FOKKER F100","landing","0","2","106"
206240,"3/12/2001","New York","US AIRWAYS*","B-737-200","inflight","0","3","1"
206239,"3/12/2001","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","1","2","129"
206706,"3/18/2001","Washington","BUSINESS","LEARJET-35","landing","1","3","130"
205030,"3/20/2001","Iowa","BUSINESS","DA-10 FALCON","inflight","1","2","131"
200321,"3/23/2001","Iowa","MESA AIRLINES","CL-RJ100/200","inflight","0","1","111"
211303,"3/25/2001","DC","AIR CANADA","A-319","inflight","0","1","8"
202798,"3/28/2001","Oregon","PRIVATELY OWNED","IAI-1124","inflight","0","3","132"
210599,"4/5/2001","Texas","CONTINENTAL AIRLINES","B-757-200","inflight","0","3","129"
206608,"4/13/2001","Georgia","AMERICA WEST AIRLINES","A-320","takeoff","1","2","9"
210461,"4/14/2001","Pennsylvania","ATLANTIC COAST AIRLINES","BA-31 JETSTR","landing","0","1","133"
207300,"4/16/2001","DC","DELTA AIR LINES","B-757-200","inflight","0","3","8"
209266,"4/16/2001","California","SKYWEST AIRLINES","EMB-120","inflight","0","1","134"
203023,"4/20/2001","Missouri","AIR MIDWEST","BE-1900","inflight","0","2","16"
212723,"4/23/2001","Connecticut","UPS AIRLINES","B-757-200","inflight","0","1","135"
208857,"4/29/2001","Indiana","DELTA AIR LINES","B-737-200","inflight","0","1","46"
209813,"4/30/2001","New York","AMERICAN EAGLE AIRLINES","SAAB-340","landing","1","2","78"
211775,"5/3/2001","California","US AIRWAYS*","A-319","inflight","1","1","136"
203423,"5/12/2001","West Virginia","AIR CARGO CARRIERS","SHORTS 360","landing","0","3","137"
209113,"5/14/2001","Kentucky","DELTA AIR LINES","B-727","inflight","0","1","44"
206021,"5/18/2001","Ohio","EMERY WORLDWIDE","DC-8-70","inflight","0","2","116"
210343,"5/19/2001","West Virginia","BUSINESS","BE-200 KING","takeoff","0","3","137"
3504,"5/23/2001","Louisiana","MILITARY","B-52H","inflight","0","1","37"
207259,"5/28/2001","Texas","AMERICAN AIRLINES","B-727-200","landing","0","1","2"
205603,"5/28/2001","Illinois","SOUTHWEST AIRLINES","B-737-300","inflight","0","3","138"
210658,"5/31/2001","Ohio","MESABA AIRLINES","SAAB-340","inflight","0","1","39"
210055,"6/3/2001","Utah","SKYWEST AIRLINES","CL-RJ100/200","inflight","0","3","92"
207077,"6/7/2001","Michigan","NORTHWEST AIRLINES","B-727-200","landing","0","1","38"
207563,"6/8/2001","New Jersey","UPS AIRLINES","A-300","inflight","1","1","23"
214259,"6/10/2001","Georgia","US AIRWAYS*","MD-82","takeoff","0","3","56"
209020,"6/11/2001","Hawaii","ALOHA AIRLINES","B-737-200","takeoff","0","2","57"
208151,"6/11/2001","N/A","FEDEX EXPRESS","A-310","inflight","0","2","139"
205386,"6/13/2001","Florida","US AIRWAYS*","B-737-200","takeoff","1","2","31"
208558,"6/14/2001","Oklahoma","BUSINESS","HAWKER 800","landing","0","3","140"
6465,"6/14/2001","South Carolina","MILITARY","C-17A","takeoff","0","1","114"
209067,"6/15/2001","Georgia","BUSINESS","C-172","inflight","0","2","56"
203413,"6/18/2001","Utah","BUSINESS","PILATUS PC12","inflight","1","1","92"
209857,"6/21/2001","Alaska","CONTINENTAL AIRLINES","B-757-200","inflight","0","2","42"
209348,"6/27/2001","Hawaii","ALOHA AIRLINES","B-737-200","landing","0","2","17"
206976,"6/30/2001","Florida","DELTA AIR LINES","MD-88","takeoff","0","2","141"
4090,"7/2/2001","South Carolina","MILITARY","C-17A","inflight","0","2","114"
201413,"7/4/2001","Georgia","US AIRWAYS*","FOKKER F100","landing","0","1","56"
209394,"7/4/2001","Quebec","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","142"
4465,"7/7/2001","South Carolina","MILITARY","C-21A","inflight","0","1","114"
4091,"7/7/2001","South Carolina","MILITARY","C-21A","takeoff","0","2","114"
207392,"7/8/2001","Florida","COMAIR AIRLINES","CL-RJ100/200","landing","0","1","143"
